StartRelativeMSec,Number,Generation,Type,Reason,IsCompacting,SuspensionDurationInMilliSeconds,PauseDurationInMilliSeconds,FinalPauseDurationInMilliSeconds,Gen0Size,Gen1Size,Gen2Size,LOHSize,ObjGen0Before,ObjGen1Before,ObjGen2Before,ObjLOHBefore,ObjGen0After,ObjGen1After,ObjGen2After,ObjLOHAfter
10165.1015556539,30,0,NonConcurrentGC,AllocSmall,False,3.293351921875,3.62775605346178,0,96,331184,62544,9021960,26723064,306320,62496,9021832,96,331184,0,0
10303.5784159455,31,0,NonConcurrentGC,AllocSmall,False,0.00875212558094063,0.303407020152008,0,96,356368,62544,9792872,26838808,331184,62496,9792744,96,356368,0,0
10428.3319433256,32,2,BackgroundGC,AllocLarge,False,0.0908033029045328,2.19240745812385,0.33440413158678,23197392,356368,62544,3290296,0,0,0,0,0,0,0,0
10475.3487266204,33,1,NonConcurrentGC,AllocSmall,False,0.00984614127810346,0.549925224026083,0,96,21904,62544,3460608,5418896,96,61632,377232,96,21904,61632,377232
10632.837756378,34,0,NonConcurrentGC,AllocSmall,False,0.12872918042558,0.623588947670214,0,96,46360,62544,3716160,29981984,21904,61632,975752,96,46360,0,0
10772.6511391803,35,0,NonConcurrentGC,AllocSmall,False,0.00984614127810346,0.348626335655354,0,96,68200,62544,3887672,24684408,46360,61632,1232312,96,68200,0,0
10914.1850440031,36,0,NonConcurrentGC,AllocSmall,False,0.00692876608627557,0.285538097090466,0,96,89816,62544,4314416,24039616,68200,61632,1914936,96,89816,0,0
11067.7006087468,37,0,NonConcurrentGC,AllocSmall,False,0.228284608912873,0.559042021508503,0,96,113888,62544,4741344,27535664,89816,61632,2427424,96,113888,0,0
11224.373138122,38,0,NonConcurrentGC,AllocSmall,False,0.01677490736256,0.401139089142816,0,96,136128,62544,5255720,27099048,113888,61632,3113080,96,136128,0,0
11396.8202798419,39,0,NonConcurrentGC,AllocSmall,False,0.00911679748060124,0.258917048447984,0,96,161848,62544,6025976,28541800,136128,61632,4139352,96,161848,0,0
11521.8338182862,40,0,NonConcurrentGC,AllocSmall,False,0.0670996294556971,1.04733769456652,0,96,184248,62544,6453232,23797856,161848,61632,4994328,96,184248,0,0
11694.3130511332,41,0,NonConcurrentGC,AllocSmall,False,0.402233104841798,0.769822379257675,0,96,207152,62544,6880552,28912608,184248,61632,5592816,96,207152,0,0
11865.7522397236,42,0,NonConcurrentGC,AllocSmall,False,0.152432853876235,0.482825594570386,0,96,233408,62544,7734032,26892336,207152,61632,6702384,96,233408,0,0
12022.703013758,43,0,NonConcurrentGC,AllocSmall,False,0.0105754850774247,0.304865707748831,0,96,257728,62544,8331216,28450840,233408,61632,7471296,96,257728,0,0
12193.2214058029,44,0,NonConcurrentGC,AllocSmall,False,0.00838745368128002,0.335862819183603,0,96,281504,62544,8758056,28184056,257728,61632,8155136,96,281504,0,0
